1,명장스시,"초밥,롤",90,울산 중구 중앙시장1길 7 1층,
2,시로스시,"초밥,롤",55,울산 중구 시계탑거리 32 2층,052-248-2176
3,정희옥스시 울산성남점,"초밥,롤",120,울산 중구 학성로 85-1 1층,052-211-6780
4,오마카세 스시카이키,"초밥,롤",9,울산 남구 삼산중로84번길 5-10,052-268-4846
5,스시모리,"초밥,롤",23,울산 남구 왕생로66번길 16,010-6573-1976
6,초밥집,"초밥,롤",18,울산 남구 번영로173번길 13 1층,052-266-0402
7,스시아오 신정점,"초밥,롤",22,울산 남구 동산로 54-1 1층,052-920-9999
8,스시반점,"초밥,롤",53,울산 중구 중앙길 58 1층,
9,미카도스시 울산무거점,"초밥,롤",16,울산 남구 옥현로 119 1층,052-912-3579
10,미카도스시 울산옥동점,"초밥,롤",23,울산 남구 문수로 354 1층,052-933-3579
11,한스시,"초밥,롤",23,울산 남구 삼산중로74번길 5-6 1층,052-258-8581
12,스시로 울산삼산점,"초밥,롤",57,울산 남구 화합로 185 업스퀘어 5층,052-258-4315
13,스시아오 야음점,"초밥,롤",32,울산 남구 신선로74번길 3 1층,052-297-7575
14,스시아오 매곡점,"초밥,롤",13,울산 북구 매곡1로 55-19,052-295-3421
15,스시아오 무거점,"초밥,롤",12,울산 남구 굴화4길 27,052-222-3421
16,라이브영스시,"초밥,롤",39,울산 북구 명촌20길 17 2층,052-283-4070
17,스시야마 태화루점,"초밥,롤",17,울산 중구 태화로 305,052-244-4785
18,스시아오 화봉점,"초밥,롤",7,울산 북구 화산로 22 1층,052-287-3421
19,스시아오 삼산점,"초밥,롤",2,울산 남구 삼산로266번길 5-13 B동 1층,052-227-8047
20,미카도스시 울산명촌점,"초밥,롤",12,울산 북구 명촌15길 3 1층,052-288-8775
21,스시허 야음점,"초밥,롤",14,울산 남구 번영로15번길 20-9 4층 401호,052-268-3335
22,마끼스시,"초밥,롤",14,울산 남구 신정로20번길 19-9 1층,052-933-6350
23,쇼고스시,"초밥,롤",10,울산 남구 왕생로100번길 4 1층,052-266-2783
24,울산초밥,"초밥,롤",15,울산 중구 태화강국가정원길 201,
25,후지산,"초밥,롤",14,울산 남구 왕생로 136-1 1층,052-267-3599
26,도담초밥,"초밥,롤",22,울산 동구 꽃바위로 270,052-950-9506
27,79스시,"초밥,롤",15,울산 북구 진장유통로 46-10,052-288-3031
28,스시노백쉐프 울산언양91호점,"초밥,롤",7,울산 울주군 언양읍 헌양길 167 1층,052-254-5802
29,스시1901,"초밥,롤",14,울산 북구 송내5길 23 1층,070-7761-1901
30,초밥집,"초밥,롤",13,울산 남구 삼산로155번길 6,052-266-0402
31,삼월,"초밥,롤",1,울산 북구 화암1길 29 1층 104호,
32,스시오 울산점,"초밥,롤",10,울산 남구 삼산로277번길 10,052-257-7855
33,스시아오 전하점,"초밥,롤",8,울산 동구 봉수로 250 울산전하푸르지오 302동 113A호,052-234-3421
34,심스시,"초밥,롤",9,울산 울주군 삼남읍 교동로 135,052-254-4566
35,토끼풀스시,"초밥,롤",13,울산 북구 매곡1로 4-4 106호,052-282-3970
36,진스시,"초밥,롤",2,울산 남구 대공원입구로10번길 4,052-269-8079
37,초밥가게수사,"초밥,롤",4,울산 남구 삼산중로84번길 3 1층,010-7545-0171
38,동경식당,"초밥,롤",4,울산 동구 바드래4길 62,052-233-1214
39,정직유부 울산대점,"초밥,롤",5,울산 남구 대학로 80-1,052-221-0022
40,스시곤,"초밥,롤",2,울산 울주군 범서읍 구영로 138,052-211-6607
41,히또비또 본점,"초밥,롤",15,울산 남구 달삼로 41,
